103.235.136.1,9483,40080
103.230.200.1,18946,40081
103.68.128.1,30525,40082
114.118.16.1,29644,40083
27.36.113.1,24828,40084
49.79.224.1,2964,40085
103.94.200.1,1638,40086
103.94.12.1,12030,40087
