18.231.115.246,BRA-AWS-O2C,5000,80,2019-10-18 22:23:00
13.48.68.63,SWE-AWS-O2C,5001,80,2019-10-18 22:25:30
54.180.89.21,KOR-AWS-O2C,5002,80,2019-10-18 22:28:00
52.64.158.4,AUS-AWS-O2C,5003,80,2019-10-18 22:30:30
165.22.104.197,SGP-DGO-O2C,5004,80,2019-10-18 22:33:00
142.93.214.125,IND-DGO-O2C,5005,80,2019-10-18 22:35:30
157.230.123.5,DEU-DGO-O2C,5006,80,2019-10-18 22:38:00
178.128.233.11,CAN-DGO-O2C,5007,80,2019-10-18 22:40:30
134.209.4.39,SF-DGO-O2C,5008,80,2019-10-18 22:43:00
104.248.170.30,GBR-DGO-O2C,5009,80,2019-10-18 22:45:30
