157.230.172.25,USA-DGO,33510,3,out
159.65.136.33,SGP-DGO,33512,1,in
13.53.44.124,SWE-AWS,33513,7,out
209.97.136.61,GBR-DGO,33515,6,in
178.128.234.61,CAN-DGO,33516,4,out
39.97.164.112,CHN-ALI,33518,0,in
52.67.41.240,BRA-AWS,33519,9,out
104.248.45.153,DEU-DGO,33521,5,in
104.248.45.153,DEU-DGO,33522,5,out
178.128.234.61,CAN-DGO,33524,4,in
39.97.164.112,CHN-ALI,33525,0,out
52.67.41.240,BRA-AWS,33527,9,in
209.97.136.61,GBR-DGO,33528,6,out
157.230.172.25,USA-DGO,33530,3,in
159.65.136.33,SGP-DGO,33531,1,out
54.252.244.51,AUS-AWS,33533,8,in
54.252.244.51,AUS-AWS,33534,8,out
13.53.44.124,SWE-AWS,33536,7,in
