159.65.136.33,SGP-DGO,33456,1,out
178.128.234.61,CAN-DGO,33458,4,in
104.248.45.153,DEU-DGO,33459,5,out
52.67.41.240,BRA-AWS,33461,9,in
139.59.21.4,IND-DGO,33462,2,out
157.230.172.25,USA-DGO,33464,3,in
13.53.44.124,SWE-AWS,33465,7,out
54.252.244.51,AUS-AWS,33467,8,in
157.230.172.25,USA-DGO,33468,3,out
139.59.21.4,IND-DGO,33470,2,in
54.252.244.51,AUS-AWS,33471,8,out
13.53.44.124,SWE-AWS,33473,7,in
178.128.234.61,CAN-DGO,33474,4,out
159.65.136.33,SGP-DGO,33476,1,in
52.67.41.240,BRA-AWS,33477,9,out
209.97.136.61,GBR-DGO,33479,6,in
209.97.136.61,GBR-DGO,33480,6,out
104.248.45.153,DEU-DGO,33482,5,in
