178.128.234.61,CAN-DGO,33537,4,out
139.59.21.4,IND-DGO,33539,2,in
54.252.244.51,AUS-AWS,33540,8,out
13.53.44.124,SWE-AWS,33542,7,in
104.248.45.153,DEU-DGO,33543,5,out
159.65.136.33,SGP-DGO,33545,1,in
39.97.164.112,CHN-ALI,33546,0,out
209.97.136.61,GBR-DGO,33548,6,in
209.97.136.61,GBR-DGO,33549,6,out
39.97.164.112,CHN-ALI,33551,0,in
159.65.136.33,SGP-DGO,33552,1,out
104.248.45.153,DEU-DGO,33554,5,in
13.53.44.124,SWE-AWS,33555,7,out
178.128.234.61,CAN-DGO,33557,4,in
139.59.21.4,IND-DGO,33558,2,out
52.67.41.240,BRA-AWS,33560,9,in
52.67.41.240,BRA-AWS,33561,9,out
54.252.244.51,AUS-AWS,33563,8,in
