52.67.41.240,BRA-AWS,33672,9,out
157.230.172.25,USA-DGO,33674,3,in
178.128.234.61,CAN-DGO,33675,4,out
13.53.44.124,SWE-AWS,33677,7,in
39.97.164.112,CHN-ALI,33678,0,out
159.65.136.33,SGP-DGO,33680,1,in
104.248.45.153,DEU-DGO,33681,5,out
209.97.136.61,GBR-DGO,33683,6,in
159.65.136.33,SGP-DGO,33684,1,out
39.97.164.112,CHN-ALI,33686,0,in
209.97.136.61,GBR-DGO,33687,6,out
104.248.45.153,DEU-DGO,33689,5,in
139.59.21.4,IND-DGO,33690,2,out
178.128.234.61,CAN-DGO,33692,4,in
13.53.44.124,SWE-AWS,33693,7,out
52.67.41.240,BRA-AWS,33695,9,in
157.230.172.25,USA-DGO,33696,3,out
139.59.21.4,IND-DGO,33698,2,in
