209.97.136.61,GBR-DGO,33591,6,out
39.97.164.112,CHN-ALI,33593,0,in
159.65.136.33,SGP-DGO,33594,1,out
52.67.41.240,BRA-AWS,33596,9,in
13.53.44.124,SWE-AWS,33597,7,out
157.230.172.25,USA-DGO,33599,3,in
139.59.21.4,IND-DGO,33600,2,out
54.252.244.51,AUS-AWS,33602,8,in
54.252.244.51,AUS-AWS,33603,8,out
139.59.21.4,IND-DGO,33605,2,in
157.230.172.25,USA-DGO,33606,3,out
13.53.44.124,SWE-AWS,33608,7,in
52.67.41.240,BRA-AWS,33609,9,out
159.65.136.33,SGP-DGO,33611,1,in
178.128.234.61,CAN-DGO,33612,4,out
209.97.136.61,GBR-DGO,33614,6,in
39.97.164.112,CHN-ALI,33615,0,out
178.128.234.61,CAN-DGO,33617,4,in
