39.97.164.112,CHN-ALI,33564,0,out
157.230.172.25,USA-DGO,33566,3,in
52.67.41.240,BRA-AWS,33567,9,out
54.252.244.51,AUS-AWS,33569,8,in
209.97.136.61,GBR-DGO,33570,6,out
139.59.21.4,IND-DGO,33572,2,in
159.65.136.33,SGP-DGO,33573,1,out
13.53.44.124,SWE-AWS,33575,7,in
13.53.44.124,SWE-AWS,33576,7,out
159.65.136.33,SGP-DGO,33578,1,in
139.59.21.4,IND-DGO,33579,2,out
209.97.136.61,GBR-DGO,33581,6,in
54.252.244.51,AUS-AWS,33582,8,out
39.97.164.112,CHN-ALI,33584,0,in
157.230.172.25,USA-DGO,33585,3,out
104.248.45.153,DEU-DGO,33587,5,in
104.248.45.153,DEU-DGO,33588,5,out
52.67.41.240,BRA-AWS,33590,9,in
