54.252.244.51,AUS-AWS,33645,8,out
139.59.21.4,IND-DGO,33647,2,in
157.230.172.25,USA-DGO,33648,3,out
209.97.136.61,GBR-DGO,33650,6,in
52.67.41.240,BRA-AWS,33651,9,out
39.97.164.112,CHN-ALI,33653,0,in
178.128.234.61,CAN-DGO,33654,4,out
104.248.45.153,DEU-DGO,33656,5,in
39.97.164.112,CHN-ALI,33657,0,out
178.128.234.61,CAN-DGO,33659,4,in
104.248.45.153,DEU-DGO,33660,5,out
52.67.41.240,BRA-AWS,33662,9,in
159.65.136.33,SGP-DGO,33663,1,out
157.230.172.25,USA-DGO,33665,3,in
209.97.136.61,GBR-DGO,33666,6,out
54.252.244.51,AUS-AWS,33668,8,in
139.59.21.4,IND-DGO,33669,2,out
159.65.136.33,SGP-DGO,33671,1,in
