39.97.164.112,CHN-ALI,33699,0,out
178.128.234.61,CAN-DGO,33701,4,in
104.248.45.153,DEU-DGO,33702,5,out
54.252.244.51,AUS-AWS,33704,8,in
159.65.136.33,SGP-DGO,33705,1,out
139.59.21.4,IND-DGO,33707,2,in
209.97.136.61,GBR-DGO,33708,6,out
13.53.44.124,SWE-AWS,33710,7,in
139.59.21.4,IND-DGO,33711,2,out
159.65.136.33,SGP-DGO,33713,1,in
13.53.44.124,SWE-AWS,33714,7,out
209.97.136.61,GBR-DGO,33716,6,in
157.230.172.25,USA-DGO,33717,3,out
39.97.164.112,CHN-ALI,33719,0,in
54.252.244.51,AUS-AWS,33720,8,out
104.248.45.153,DEU-DGO,33722,5,in
178.128.234.61,CAN-DGO,33723,4,out
157.230.172.25,USA-DGO,33725,3,in
