13.53.44.124,SWE-AWS,33618,7,out
159.65.136.33,SGP-DGO,33620,1,in
139.59.21.4,IND-DGO,33621,2,out
104.248.45.153,DEU-DGO,33623,5,in
54.252.244.51,AUS-AWS,33624,8,out
178.128.234.61,CAN-DGO,33626,4,in
157.230.172.25,USA-DGO,33627,3,out
52.67.41.240,BRA-AWS,33629,9,in
52.67.41.240,BRA-AWS,33630,9,out
157.230.172.25,USA-DGO,33632,3,in
178.128.234.61,CAN-DGO,33633,4,out
54.252.244.51,AUS-AWS,33635,8,in
39.97.164.112,CHN-ALI,33636,0,out
139.59.21.4,IND-DGO,33638,2,in
104.248.45.153,DEU-DGO,33639,5,out
13.53.44.124,SWE-AWS,33641,7,in
159.65.136.33,SGP-DGO,33642,1,out
39.97.164.112,CHN-ALI,33644,0,in
