old,T,0.1,100,4,211.89.228.18,211.89.228.18,syn,4296
old,T,0.1,100,4,211.89.228.254,211.89.228.254,syn,48563
old,T,0.1,100,4,211.89.228.11,211.89.228.11,syn,27896
old,T,0.1,100,4,211.89.235.11,211.89.235.11,syn,26291
old,T,0.1,100,4,211.89.235.1,211.89.235.1,syn,18220
old,T,0.1,100,4,211.89.235.12,211.89.235.12,syn,3072
old,T,0.1,100,4,211.146.20.137,211.146.20.137,syn,1755
old,T,0.1,100,4,211.146.20.128,211.146.20.128,syn,3128
old,T,0.1,100,4,211.146.20.133,211.146.20.133,syn,23
old,T,0.1,100,4,211.146.20.134,211.146.20.134,syn,514
old,T,0.1,100,4,103.71.200.2,103.71.200.2,syn,8163
old,T,0.1,100,4,168.160.102.137,168.160.102.137,syn,9999
old,T,0.1,100,4,211.146.16.133,211.146.16.133,syn,2049
old,T,0.1,100,4,59.111.108.137,59.111.108.137,syn,44086
old,T,0.1,100,4,211.156.196.3,211.156.196.3,syn,28294
