211.89.228.18 4296
211.89.228.254 48563
211.89.228.11 27896 
211.89.235.11 26291
211.89.235.1 18220
211.89.235.12 3072
211.146.20.137 1755 
211.146.20.128 3128
211.146.20.133 23
211.146.20.134 514
103.71.200.2 8163
168.160.102.137 9999
211.146.16.133 2049
59.111.108.137 44086
211.156.196.3 28294
