123.58.164.228,37953,80,59847,SA,sf-do-10
123.58.165.238,18496,8080,26140,SA,sf-do-01
123.58.165.238,18496,8080,60936,SA,sf-do-07
123.58.173.12,7910,80,25600,SA,sf-do-01
123.58.173.12,7910,80,32732,SA,ny-do-02
123.58.173.41,8530,80,18904,SA,sf-do-05
123.58.173.41,8530,80,34863,SA,sf-do-02
123.58.173.41,8530,80,46794,SA,ny-do-01
123.58.175.43,51040,80,62454,SA,sf-do-07
123.58.177.10,39025,80,30912,SA,ny-do-02
123.58.177.10,39025,80,34550,SA,sf-do-04
123.58.177.10,39025,80,5584,SA,lon-do-01
123.58.177.240,18269,80,5583,SA,lon-do-01
211.146.6.21,443,80,36185,S,sf-do-02
59.252.162.102,3128,80,30869,SA,la4-vultr
